[06/14/2021 10:43:29 PM][ INFO    ] Loading Graph Engine Extensions.
[06/14/2021 10:43:31 PM][ INFO    ] Scanning for TSL storage extension.
[06/14/2021 10:43:31 PM][ INFO    ] TSL storage extension loaded.
[06/14/2021 10:43:31 PM][ INFO    ] Scanning for MemoryCloud extensions.
[06/14/2021 10:43:31 PM][ INFO    ] No MemoryCloud extension found.
[06/14/2021 10:43:31 PM][ INFO    ] Scanning for startup tasks.
[06/14/2021 10:43:31 PM][ INFO    ] EventLoop: Starting.
[06/14/2021 10:43:31 PM][ INFO    ] Listening endpoint :5305
[06/14/2021 10:43:31 PM][ INFO    ] Waiting for client connection ...
[06/14/2021 10:43:31 PM][ INFO    ] My IPEndPoint: 192.168.1.245:5305
[06/14/2021 10:43:31 PM][ INFO    ] HTTP server listening on port 8081
[06/14/2021 10:43:31 PM][ INFO    ] *****************************************************
[06/14/2021 10:43:31 PM][ INFO    ] ServerCount: 0
[06/14/2021 10:43:31 PM][ INFO    ] ProxyCount: 0
[06/14/2021 10:43:31 PM][ INFO    ] *****************************************************
[06/14/2021 10:43:31 PM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/14/2021 10:43:32 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/14/2021 10:43:32 PM][ INFO    ] Initializing logging facility
[06/14/2021 10:43:32 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_109.dat
[06/14/2021 10:43:32 PM][ INFO    ] Scanning for auto-registered communication modules.
[06/14/2021 10:43:32 PM][ INFO    ] Checking Server-Server protocol signatures...
[06/14/2021 10:43:32 PM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\
[06/14/2021 10:43:32 PM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\
[06/14/2021 10:43:32 PM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/14/2021 10:43:32 PM][ INFO    ] LoggingLevel: Info
[06/14/2021 10:43:32 PM][ INFO    ] HttpPort:     8081
[06/14/2021 10:43:32 PM][ INFO    ] Server 0 is successfully started.
[06/14/2021 10:43:32 PM][ INFO    ] Loading storage from [SLOT A]
[06/14/2021 10:43:36 PM][ INFO    ] Load storage complete, image version = 108
[06/14/2021 10:43:36 PM][ INFO    ] Initializing logging facility
[06/14/2021 10:43:36 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_109.dat
[06/14/2021 10:43:36 PM][ INFO    ] Reading log file.
[06/14/2021 10:43:36 PM][ INFO    ] Write-ahead-log successfully loaded. Recovered 0 records.
[06/14/2021 10:43:36 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_108.dat
[06/14/2021 10:43:36 PM][ INFO    ] Loading cell type signatures.
[06/14/2021 10:43:51 PM][ INFO    ] Saving storage to [SLOT B]
[06/14/2021 10:43:54 PM][ INFO    ] Save storage complete, image version = 109.
[06/14/2021 10:43:54 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_109.dat
[06/14/2021 10:43:54 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_108.dat
[06/14/2021 10:43:54 PM][ INFO    ] Saving cell type signatures.
[06/14/2021 10:44:36 PM][ INFO    ] Saving storage to [SLOT A]
[06/14/2021 10:44:38 PM][ INFO    ] Save storage complete, image version = 110.
[06/14/2021 10:44:38 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_110.dat
[06/14/2021 10:44:38 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_109.dat
[06/14/2021 10:44:38 PM][ INFO    ] Saving cell type signatures.
[06/14/2021 10:45:16 PM][ INFO    ] Saving storage to [SLOT B]
[06/14/2021 10:45:18 PM][ INFO    ] Save storage complete, image version = 111.
[06/14/2021 10:45:18 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_111.dat
[06/14/2021 10:45:18 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_110.dat
[06/14/2021 10:45:18 PM][ INFO    ] Saving cell type signatures.
[06/14/2021 10:45:43 PM][ INFO    ] Saving storage to [SLOT A]
[06/14/2021 10:45:45 PM][ INFO    ] Save storage complete, image version = 112.
[06/14/2021 10:45:45 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_112.dat
[06/14/2021 10:45:45 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_111.dat
[06/14/2021 10:45:45 PM][ INFO    ] Saving cell type signatures.
[06/14/2021 10:48:28 PM][ INFO    ] Saving storage to [SLOT B]
[06/14/2021 10:48:30 PM][ INFO    ] Save storage complete, image version = 113.
[06/14/2021 10:48:30 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_113.dat
[06/14/2021 10:48:30 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_112.dat
[06/14/2021 10:48:30 PM][ INFO    ] Saving cell type signatures.
[06/14/2021 10:48:38 PM][ INFO    ] Saving storage to [SLOT A]
[06/14/2021 10:48:39 PM][ INFO    ] Save storage complete, image version = 114.
[06/14/2021 10:48:39 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_114.dat
