[06/08/2021 01:19:48 PM][ INFO    ] Loading Graph Engine Extensions.
[06/08/2021 01:19:49 PM][ INFO    ] Scanning for TSL storage extension.
[06/08/2021 01:19:49 PM][ INFO    ] TSL storage extension loaded.
[06/08/2021 01:19:49 PM][ INFO    ] Scanning for MemoryCloud extensions.
[06/08/2021 01:19:49 PM][ INFO    ] No MemoryCloud extension found.
[06/08/2021 01:19:49 PM][ INFO    ] Scanning for startup tasks.
[06/08/2021 01:19:49 PM][ INFO    ] EventLoop: Starting.
[06/08/2021 01:19:50 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/08/2021 01:19:50 PM][ INFO    ] Initializing logging facility
[06/08/2021 01:19:50 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_19.dat
[06/08/2021 01:19:50 PM][ INFO    ] Resetting storage.
[06/08/2021 01:19:51 PM][ INFO    ] Reset storage complete, image version = 20
[06/08/2021 01:19:51 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_19.dat
[06/08/2021 01:19:51 PM][ INFO    ] Initializing logging facility
[06/08/2021 01:19:51 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_20.dat
[06/08/2021 01:19:51 PM][ INFO    ] Saving storage to [SLOT A]
[06/08/2021 01:19:53 PM][ INFO    ] Save storage complete, image version = 21.
[06/08/2021 01:19:53 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_21.dat
[06/08/2021 01:19:53 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_20.dat
[06/08/2021 01:19:53 PM][ INFO    ] Saving cell type signatures.
[06/08/2021 01:19:53 PM][ INFO    ] Loading storage from [SLOT A]
[06/08/2021 01:19:56 PM][ INFO    ] Load storage complete, image version = 21
[06/08/2021 01:19:56 PM][ INFO    ] Initializing logging facility
[06/08/2021 01:19:56 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_21.dat
[06/08/2021 01:19:56 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_21.dat
[06/08/2021 01:19:56 PM][ INFO    ] Loading cell type signatures.
[06/08/2021 01:19:56 PM][ INFO    ] Saving storage to [SLOT B]
[06/08/2021 01:19:58 PM][ INFO    ] Save storage complete, image version = 22.
[06/08/2021 01:19:58 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_22.dat
[06/08/2021 01:19:58 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_21.dat
[06/08/2021 01:19:58 PM][ INFO    ] Saving cell type signatures.
