[06/14/2021 06:53:57 AM][ INFO    ] Loading Graph Engine Extensions.
[06/14/2021 06:53:59 AM][ INFO    ] Scanning for TSL storage extension.
[06/14/2021 06:53:59 AM][ INFO    ] TSL storage extension loaded.
[06/14/2021 06:53:59 AM][ INFO    ] Scanning for MemoryCloud extensions.
[06/14/2021 06:53:59 AM][ INFO    ] No MemoryCloud extension found.
[06/14/2021 06:53:59 AM][ INFO    ] Scanning for startup tasks.
[06/14/2021 06:53:59 AM][ INFO    ] EventLoop: Starting.
[06/14/2021 06:54:00 AM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/14/2021 06:54:00 AM][ INFO    ] Initializing logging facility
[06/14/2021 06:54:00 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_39.dat
[06/14/2021 06:54:00 AM][ INFO    ] Resetting storage.
[06/14/2021 06:54:01 AM][ INFO    ] Reset storage complete, image version = 40
[06/14/2021 06:54:01 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_39.dat
[06/14/2021 06:54:01 AM][ INFO    ] Initializing logging facility
[06/14/2021 06:54:01 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_40.dat
[06/14/2021 06:54:01 AM][ INFO    ] Saving storage to [SLOT A]
[06/14/2021 06:54:04 AM][ INFO    ] Save storage complete, image version = 41.
[06/14/2021 06:54:04 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_41.dat
[06/14/2021 06:54:04 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_40.dat
[06/14/2021 06:54:04 AM][ INFO    ] Saving cell type signatures.
[06/14/2021 06:54:04 AM][ INFO    ] Loading storage from [SLOT A]
[06/14/2021 06:54:07 AM][ INFO    ] Load storage complete, image version = 41
[06/14/2021 06:54:07 AM][ INFO    ] Initializing logging facility
[06/14/2021 06:54:07 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_41.dat
[06/14/2021 06:54:07 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_41.dat
[06/14/2021 06:54:07 AM][ INFO    ] Loading cell type signatures.
[06/14/2021 06:54:07 AM][ INFO    ] Saving storage to [SLOT B]
[06/14/2021 06:54:10 AM][ INFO    ] Save storage complete, image version = 42.
[06/14/2021 06:54:10 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_42.dat
[06/14/2021 06:54:10 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_41.dat
[06/14/2021 06:54:10 AM][ INFO    ] Saving cell type signatures.
[06/14/2021 06:54:10 AM][ INFO    ] Listening endpoint :5304
[06/14/2021 06:54:10 AM][ INFO    ] Waiting for client connection ...
[06/14/2021 06:54:10 AM][ INFO    ] My IPEndPoint: 192.168.1.245:5304
[06/14/2021 06:54:10 AM][ INFO    ] HTTP server listening on port 8080
[06/14/2021 06:54:10 AM][ INFO    ] *****************************************************
[06/14/2021 06:54:10 AM][ INFO    ] ServerCount: 0
[06/14/2021 06:54:10 AM][ INFO    ] ProxyCount: 0
[06/14/2021 06:54:10 AM][ INFO    ] *****************************************************
[06/14/2021 06:54:10 AM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/14/2021 06:54:10 AM][ INFO    ] Scanning for auto-registered communication modules.
[06/14/2021 06:54:10 AM][ INFO    ] Checking Server-Server protocol signatures...
[06/14/2021 06:54:10 AM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\
[06/14/2021 06:54:10 AM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\
[06/14/2021 06:54:10 AM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/14/2021 06:54:10 AM][ INFO    ] LoggingLevel: Info
[06/14/2021 06:54:10 AM][ INFO    ] HttpPort:     8080
[06/14/2021 06:54:10 AM][ INFO    ] Server 0 is successfully started.
